,name,image:,address,tel,extendsection,other,email,web
10,Công Ty TNHH Dịch Vụ Logistic Và Thương Mại Sao Biển,None,"63 Phạm Ngọc Thạch, P. 6, Q. 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38201046,,None,mailto:hopvan@ssl.com.vn                                 ,http://aseanlines.com
11,Công Ty Cổ Phần Asean Lines International,None,"Tòa Nhà Fosco, Số 2-6 Phùng Khắc Khoan, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35210488,,None,mailto:info@aseanlines.com                               ,http://federshipplingline.com
12,Công Ty TNHH FEDER SHIPPING LINES,None,"Tòa Nhà Melody, 01 Nguyễn Văn Đậu, P. 5, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35511657,,None,mailto:info@federshipplingline.com                       ,http://trungthanhhp.vn
13,Công Ty TNHH TM Vận Tải Trung Thành,None,"Số 57 Km 5 Lâm Sản, P. Sở Dầu, Q. Hồng Bàng, Tp. Hải Phòng, Việt Nam", (0225) 3540787,,None,mailto:info@trungthanhhp.vn                              ,http://logisall.com.vn
14,Công Ty TNHH LOGISALL Vietnam,None,"P 1212 Keangnam Hanoi Landmark, E6 KĐTM Cầu Giấy, P. Mễ Trì, Q. Nam Từ Liêm, Hà Nội, Việt Nam", (024) 32262950,,None,mailto:logisallvietnam@gmail.com                         ,http://hblogistics.com.vn
15,Kho Lạnh Công Nghệ Cao H&B - Công Ty Cổ Phần Đầu Tư Thương Mại H&B Logistics,None,"KCN Yên Mỹ, Xã Tân Lập, Huyện Yên Mỹ, Hưng Yên, Việt Nam",0983 038 668,,None,mailto:info.hb@kholanhhb.com.vn                          ,http://vantaiviet89.vn
16,Công Ty TNHH Vận Tải Việt 89,None,"N2C Đường Hòa Minh Giám, P. Trung Hòa, Q. Cầu Giấy, Hà Nội, Việt Nam",0932271228,,None,mailto:info.vantaiviet89@gmail.com                       ,http://asanco.vn
17,Công Ty TNHH JYS Logistics,None,"Số 5, Ngõ 89, Đường Lê Đức Thọ, P. Mỹ Đình 2, Q. Nam Từ Liêm, Hà Nội, Việt Nam", (024) 32242328,,None,mailto:jyshanoi@gmail.com                                ,http://vnnmart.com/oeclog
18,Công Ty CP AIR SEA ASIAN,None,"Số 05 Đống Đa, Phường 2, Quận Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 22539680,,None,mailto:info@asanco.vn                                    ,http://xanhlo.com
19,Công Ty Cổ Phần Thương Mại Và Dịch Vụ OEC,None,"Tầng 11, Tòa Nhà Bưu Điện, Số 63, Đại Lộ Jungang, Q. Trung, Tp. Busan, Korea, Việt Nam", (0082) 514413915,,None,mailto:logistics@oeclog.co.kr                            ,http://vanchuyenhanghoavietlaocampuchia.com
20,Công Ty TNHH Thanh Nguyễn Logistics,None,"Tổ 2, KP. An Thành, P. Thái Hòa, TX. Tân Uyên, Bình Dương, Việt Nam",0329994005,,None,mailto:info.tnlog@gmail.com                              ,http://safway.com.vn
21,Công Ty TNHH Xanh Logistics,None,"46 Nguyễn Thượng Hiền, P. 1, Q. Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",0907525275,,None,mailto:hotro@xanhlo.com                                  ,http://logway.vn
22,Xuất Nhập Khẩu THC 789 - Công Ty CP Thương Mại Và Xuất Nhập Khẩu THC 789,None,"Số 6/1, Tổ 1, P. Trưng Trắc, TP. Phúc Yên, Vĩnh Phúc, Việt Nam",0903269299,,None,mailto:thc789xnk@gmail.com                               ,http://advantage.vn
23,Công Ty TNHH Logistics Safway,None,"B&#7855c Giang, Bắc Giang, Việt Nam",0901 232 568,,None,mailto:info@safway.com.vn                                ,http://www.nut-international.com
24,Công Ty TNHH Logway Sea And Air,None,"79 Bàu Cát 6, Phường 14, Quận Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62874277,,None,mailto:info@logway.vn                                    ,http://hoanganh98.com
25,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Long Tuấn Vũ,None,"1494/1G An Phú Đông 09, Khu phố 1, Phường An Phú Đông, Quận 12, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0965739313,,None,mailto:tranminhtuan1724@yahoo.com.vn		                   ,http://www.arc-worldwide.com
26,Công Ty TNHH Advantage Logistics,None,"Lầu 2, Tòa Nhà WMC, 102ABC Cống Quỳnh, P. Phạm Ngũ Lão, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 71097155,,None,mailto:mail@advantage.vn                                 ,http://nitoda.com
27,Công Ty TNHH Thương Mại Dịch Vụ P&C Việt Nam,None,"Số 5, Ngách 6, Ngõ 62 Đường Xuân Đỉnh, X. Xuân Đỉnh, H. Từ Liêm, Hà Nội, Việt Nam", (024) 37502962,,None,mailto:pcvietnamltd@gmail.com                            ,http://hoangphatlogs.com
28,Công Ty TNHH TM DV Vận Chuyển Quốc Tế NUT,None,"Phòng 301, Số 3, Nguyễn Văn Đậu, P. 5, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38050812,,None,mailto:jerry.ngo@nut-international.com                   ,http://asianalogistics.com.vn
29,Công Ty TNHH Hoàng Anh 98,None,"Số 6 LK4B, KĐT Mỗ Lao, P. Mỗ Lao, Q. Hà Đông, Hà Nội, Việt Nam", (024) 32011543,,None,mailto:thanhnd@hoanganh98.com                            ,http://haiphongtrans.com.vn
30,Công Ty Keyun Logistics Việt Nam,None,"89/37 Nguyễn Hồng Đào, P. 14 , Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0961811616,,None,mailto:thanhlogistics@pgworks.vn                         ,http://ontime-express.com
31,Công Ty TNHH Arc Worldwide Việt Nam,None,"Số 92B Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 22533514,,None,mailto:sales.vn@arc_worldwide.com                        ,http://vietscm.vn
32,Công ty Cổ phần Nitoda								,None,"SN 33, Tổ 22, Phố Minh Khai , P. Minh Khai, Q. Hai Bà Trưng, Hà Nội, Việt Nam",0978222650,,None,mailto:annaphuong@nitoda.com			                          ,http://logimark-group.com
33,Công Ty TNHH Logistics Quốc Tế Trường Thịnh,None,"Số 226, Đường Phan Bội Châu, P. Trần Hưng Đạo, TP. Quy Nhơn, Bình Định, Việt Nam", (0256) 3892668,,None,mailto:info@truongthinhil.com.vn                         ,http://steinweg.com
34,Công Ty TNHH Dịch Vụ Giao Nhận Vận Tải Hoàng Phát,None,"323A Lê Quang Định, Phường 5, Quận Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909055002,,None,mailto:ops.hoangphat@gmail.com                           ,http://thongquan.com.vn
